"% ""Estadística descriptiva. Selecció d'Activitats Resoltes, Activitat 1"". ""Estadística Descriptiva. Selección de Actividades Resueltas. Actividad 1""";
% TCPU Temps ús de la CPU. Tiempo de uso de la CPU.  Time comsumption CPU. ;
% LCOD Longitude del codi. Longitud del código. Lenght of the code;
TCPU;LCOD
127;146
83;80
85;60
93;90
103;58
80;88
71;106
112;150
116;38
62;195
123;121
90;109
103;148
63;96
116;92
103;50
98;19
71;84
103;90
101;72
91;97
125;147
117;108
126;135
112;111
91;79
89;121
105;194
110;41
149;110
98;120
112;45
131;109
147;155
92;169
85;268
55;97
89;81
52;78
91;47
66;108
76;180
102;40
97;184
87;29
111;192
70;63
143;117
108;73
81;53
107;103
103;44
99;91
135;131
123;107
103;36
129;56
115;85
80;23
93;71
117;133
90;48
94;48
70;74
83;82
109;80
65;38
115;107
100;51
86;78
89;200
134;96
96;155
67;61
138;78
117;31
75;54
111;87
111;152
104;140
66;56
126;112
121;136
101;41
118;148
67;171
117;114
92;73
107;71
122;196
48;39
97;67
94;40
125;81
120;169
112;39
97;85
89;58
112;37
87;48
